transformation,model,mean_mape,std_mape,pval
none,DummyRegressor,0.8993358421701544,0.19507297269775808,
none,RandomForestRegressor,0.017916826940445694,0.006473115631590372,2.255595924330359e-19
none,LinearRegression,0.017990095957380013,0.007640691583305703,2.5412222931965737e-26
none,KerasRegressor,0.12490411631372464,0.08706665113926591,4.182154244563378e-22
fourier,DummyRegressor,0.8993358421701544,0.19507297269775808,
fourier,RandomForestRegressor,0.04127555077771955,0.011076786493807273,1.9403157108516733e-14
fourier,LinearRegression,0.027550858218822923,0.007636623902846518,6.054214870915452e-22
fourier,KerasRegressor,0.14499905862637713,0.09673129736559265,3.3159781839462e-24
