transformation,model,mean_mape,std_mape,pval
none,KerasRegressor,0.06703902018855153,0.021968845454859397,1.02483315308433e-20
fourier,KerasRegressor,0.09526427632445249,0.012464194768387669,1.3572348473352453e-13
