transformation,model,mean_mape,std_mape,pval
none,KerasRegressor,0.21858974005135892,0.06188025661439348,2.1330280929568304e-08
none,KerasRegressor,0.0661728228577966,0.016804088000947768,5.915828888060356e-21
fourier,KerasRegressor,0.6895359002976696,0.15884008876760095,0.11869657664659342
fourier,KerasRegressor,0.09293940573277654,0.027432347891549618,9.94869130600564e-16
