transformation,model,mean_acc,std_acc,f1_macro
none,DummyClassifier,0.30973684210526314,0.08057145277807819,0.11685834006073885
none,RandomForestClassifier,0.8131578947368421,0.10870682828247476,0.802881309866604
none,SVC,0.7773684210526315,0.09068224025718012,0.7660298280151221
none,KerasClassifier,0.6792105263157895,0.10632653671578086,0.6720068126318126
fourier,DummyClassifier,0.30973684210526314,0.08057145277807819,0.11685834006073885
fourier,RandomForestClassifier,0.7973684210526315,0.12146953381580652,0.7862543012543013
fourier,SVC,0.7973684210526316,0.07305179735607405,0.786613455988456
fourier,KerasClassifier,0.6842105263157895,0.07209757930630026,0.6821125035095623
