transformation,model,mean_acc,std_acc,f1_macro
none,KerasClassifier,0.3884210526315789,0.1257674501750978,0.3289381506884704
none,KerasClassifier,0.7476315789473684,0.10962318991578844,0.7260976564285387
fourier,KerasClassifier,0.35289473684210526,0.09627731471971934,0.3071128177378178
fourier,KerasClassifier,0.7628947368421053,0.10459955297224964,0.7639745670995671
