transformation,model,mean_acc,std_acc,f1_macro
none,KerasClassifier,0.32499999999999996,0.30607279453678266,0.265
none,KerasClassifier,0.4083333333333333,0.35443617196894567,0.3622222222222222
fourier,KerasClassifier,0.13333333333333333,0.13540064007726602,0.09055555555555554
fourier,KerasClassifier,0.375,0.34003676271838607,0.325
