transformation,model,mean_mape,std_mape,pval
none,KerasRegressor,0.3701044518122406,0.3699037023151218,0.14904300441445012
none,KerasRegressor,0.26331342574714733,0.31248396397235445,0.0648833657330935
fourier,KerasRegressor,0.4559486682411656,0.2018852423534969,0.200032235395937
fourier,KerasRegressor,0.23725193976420286,0.09159372388424762,0.08545077215435407
