transformation,model,mean_acc,std_acc,f1_macro
none,DummyClassifier,0.35,0.15275252316519466,0.18666666666666665
none,RandomForestClassifier,0.4499999999999999,0.1755942292142123,0.33361111111111114
none,SVC,0.4083333333333333,0.1366768288904727,0.2925
none,KerasClassifier,0.4333333333333333,0.2758824226207808,0.3347222222222222
fourier,DummyClassifier,0.4916666666666666,0.22189211592823913,0.2813492063492063
fourier,RandomForestClassifier,0.5833333333333333,0.16244657241348273,0.4305555555555555
fourier,SVC,0.5,0.23570226039551584,0.35222222222222216
fourier,KerasClassifier,0.5333333333333333,0.17950549357115014,0.3766666666666666
