transformation,model,mean_mape,std_mape,pval
none,DummyRegressor,1.0315726440682276,0.5328760220234974,
none,RandomForestRegressor,0.1589936451639123,0.12976626895050183,0.020309294614843338
none,LinearRegression,0.13199989727972458,0.09928543488527543,0.0059489966954932635
none,KerasRegressor,0.24130240202934897,0.16583690072009658,0.012050224865751979
fourier,DummyRegressor,0.7961299519933395,0.4633970500719833,
fourier,RandomForestRegressor,0.16411108907851807,0.15742246940084245,0.01753827343503917
fourier,LinearRegression,0.08591636804076222,0.05999859199725483,0.014222120406052769
fourier,KerasRegressor,0.20706917178462478,0.10822494815036234,0.055916216622804105
