transformation,model,mean_acc,std_acc,f1_macro
none,KerasClassifier,0.18888888888888886,0.13043138302959278,0.09202408702408701
none,KerasClassifier,0.5666666666666667,0.20312375355742926,0.5313308913308913
fourier,KerasClassifier,0.3211111111111112,0.08936677096710176,0.2039484126984127
fourier,KerasClassifier,0.6922222222222223,0.2554613352880637,0.6048899711399711
