transformation,model,mean_mape,std_mape,pval
none,KerasRegressor,0.2387471307499729,0.1344579031487791,0.0006690640516289614
none,KerasRegressor,0.11097436751606034,0.06881611699219907,4.899238199927823e-06
fourier,KerasRegressor,0.7043526858769937,0.18542433890497925,0.1870276571930956
fourier,KerasRegressor,0.1320309235749591,0.05425886684548531,0.00011830195985015166
