transformation,model,mean_mape,std_mape,pval
none,DummyRegressor,0.8511994992304173,0.3720076535195213,
none,RandomForestRegressor,0.06638319369037853,0.04604173534291007,6.427102572946627e-07
none,LinearRegression,0.022865751763017174,0.013842596080812382,1.4027342488550712e-07
none,KerasRegressor,0.12496688173362254,0.08050728177842917,1.1301719445545365e-06
fourier,DummyRegressor,0.918283227952173,0.29331840236112117,
fourier,RandomForestRegressor,0.06172299760337313,0.02338960907320318,5.487595845032093e-07
fourier,LinearRegression,0.0402404755037905,0.024403210686726545,8.919660991051117e-10
fourier,KerasRegressor,0.1469867954056967,0.10035576961304497,1.5603918009162049e-07
