transformation,model,mean_acc,std_acc,f1_macro
none,DummyClassifier,0.23888888888888893,0.11442286743738157,0.09817848817848819
none,RandomForestClassifier,0.6688888888888889,0.22092957371798344,0.6383928571428571
none,SVC,0.5511111111111111,0.18157065080724885,0.5152579365079364
none,KerasClassifier,0.4866666666666667,0.1884832245212447,0.41730699855699854
fourier,DummyClassifier,0.35444444444444445,0.10452124835661258,0.14617882117882117
fourier,RandomForestClassifier,0.6533333333333333,0.16433930572874955,0.6051587301587301
fourier,SVC,0.6244444444444446,0.15176329847967887,0.5961772486772486
fourier,KerasClassifier,0.5611111111111111,0.17959144305827343,0.5117328042328041
